EVENTDATE,COUNTRYOFEVENT,ROUNDS,FIGHTER1,FIGHTERa,STANCE,DOB,COUNTRY,HEIGHT,WEIGHT,REACH,STRIKES_LANDED,STRIKING_ACCURACY,STRIKES_ABSORBED,STRIKING_DEFENCE,TAKEDOWNS_LANDED,TAKEDOWN_ACCURACY,TAKEDOWN_DEFENCE,SUBMISSION_AVERAGE,KNOCKDOWN_RATIO,AVERAGE_FIGHTTIME,STRIKES_STANDING,CLINCH_STRIKES,GROUND_STRIKES,HEAD_STRIKES,BODY_STRIKES,LEG_STRIKES,FIGHTER1RECENT1,FIGHTER1RECENT2,FIGHTER1RECENT3,FIGHTER1RECENT4,FIGHTER1NUMUFCFIGHTS,FIGHTER1RECENTBONUSES,FIGHTER1WINRECORD,FIGHTER1LOSSRECORD,FIGHTER1LAYOFFTIME,FIGHTER2,FIGHTERb,STANCE2,DOB2,COUNTRY2,HEIGHT2,WEIGHT2,REACH2,STRIKES_LANDED2,STRIKING_ACCURACY2,STRIKES_ABSORBED2,STRIKING_DEFENCE2,TAKEDOWNS_LANDED2,TAKEDOWN_ACCURACY2,TAKEDOWN_DEFENCE2,SUBMISSION_AVERAGE2,KNOCKDOWN_RATIO2,AVERAGE_FIGHTTIME2,STRIKES_STANDING2,CLINCH_STRIKES2,GROUND_STRIKES2,HEAD_STRIKES2,BODY_STRIKES2,LEG_STRIKES2,FIGHTER2RECENT1,FIGHTER2RECENT2,FIGHTER2RECENT3,FIGHTER2RECENT4,FIGHTER2NUMUFCFIGHTS,FIGHTER2RECENTBONUSES,FIGHTER2WINRECORD,FIGHTER2LOSSRECORD,FIGHTER2LAYOFFTIME,FIGHTER1OUTCOME,FIGHTER1WIN
14/11/2020, USA,3,Jose Quinonez,Jose Quinonez,2,1990, Mexico,172,140,175,3.41,0.46,2.58,0.66,2.58,0.45,0.5,0.7,0.53,12.11,0.79,0.05,0.16,0.54,0.18,0.28,8,3,7,3,8,0,9,4,8,Louis Smolka,Louis Smolka,1,1991, USA,175,135,172,4.25,0.46,3.62,0.52,1.61,0.34,0.3,2,0.21,9.59,0.56,0.11,0.33,0.69,0.25,0.06,7,1,7,2,14,0,16,7,6,YET TO HAPPENLOSS,WINNER-FIGHTER2
14/11/2020, USA,3,Paul Felder,Paul Felder,1,1984, USA,180,155,177,3.67,0.43,3.4,0.49,0.25,0.25,0.61,0.2,0.32,11.46,0.65,0.17,0.18,0.56,0.2,0.24,5,4,3,5,14,1,17,5,9,Rafael Dos Anjos,Rafael Dos Anjos,2,1984,Brazil,172,155,177,3.47,0.45,3.18,0.62,1.82,0.39,0.58,0.6,0.19,13.54,0.68,0.18,0.14,0.56,0.23,0.21,6,6,2,6,29,0,29,13,10,YET TO HAPPENLOSS,WINNER-FIGHTER2
14/11/2020, USA,3,Julian Marquez,Julian Marquez,1,1990, USA,187,185,190,3.8,0.4,3.33,0.53,0,0,0.52,3,0,11.21,0.63,0.28,0.09,0.72,0.24,0.04,5,2,1,0,3,0,7,2,28,Saparbeg Safarov,Saparbeg Safarov,1,1986, Russia,185,205,198,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0,0,8.56,0.48,0.08,0.44,0.83,0.08,0.09,7,3,7,8,4,0,9,3,8,YET TO HAPPENLOSS,WINNER-FIGHTER2
7/11/2020, USA,3,Thiago Santos,Thiago Santos,1,1984, Brazil,187,185,193,4.44,0.47,2.19,0.57,0.83,0.4,0.68,0.1,1.25,7.36,0.5,0.19,0.3,0.55,0.21,0.23,5,1,1,1,19,2,21,7,16,Glover Teixeira,Glover Teixeira,1,1979, Brazil,187,205,193,3.74,0.47,3.87,0.55,1.87,0.38,0.6,0.9,0.45,9.06,0.5,0.11,0.39,0.86,0.12,0.02,1,4,2,2,23,2,31,7,6,YET TO HAPPENLOSS,WINNER-FIGHTER2
7/11/2020, USA,3,Ian Heinisch,Ian Heinisch,1,1988, USA,180,185,182,3.62,0.52,2.85,0.59,1.16,0.19,0.62,0.5,0.49,12.15,0.64,0.14,0.23,0.64,0.19,0.17,1,6,6,3,6,0,14,3,5,Brendan Allen,Brendan Allen,1,1995, USA,187,185,190,2.67,0.6,2.55,0.35,1.42,0.37,0.55,2.4,0,6.43,0.23,0.1,0.67,0.8,0.13,0.07,3,1,2,2,4,0,15,3,5,YET TO HAPPENLOSS,WINNER-FIGHTER2
7/11/2020, USA,3,Claudia Gadelha,Claudia Gadelha,1,1988, Brazil,162,115,160,3.4,0.41,4.53,0.57,3.13,0.45,0.58,0.7,0.1,14.48,0.76,0.13,0.11,0.85,0.12,0.03,4,3,6,4,11,0,18,4,6,Yan Xiao0n,Yan Xiao0n,1,1989, Chi0,165,115,160,6.72,0.42,3.88,0.63,1.2,0.75,0.7,0,0,15,0.91,0.07,0.01,0.73,0.07,0.2,3,3,3,3,5,0,12,1,9,YET TO HAPPENLOSS,WINNER-FIGHTER2
7/11/2020, USA,3,Trevin Giles,Trevin Giles,1,1992, USA,182,185,187,3.61,0.56,1.75,0.63,1.47,1,0.73,0.2,0.25,12.14,0.65,0.07,0.29,0.85,0.11,0.04,4,7,7,1,5,1,12,2,9,Bevon Lewis,Bevon Lewis,1,1991, USA,190,185,200,4.05,0.45,2.52,0.57,0,0,1,0,0,11.32,0.82,0.18,0,0.4,0.06,0.54,3,6,8,1,5,0,7,2,10,YET TO HAPPENLOSS,WINNER-FIGHTER2
7/11/2020, USA,3,Raoni Barcelos,Raoni Barcelos,1,1987, Brazil,171,135,170,4.79,0.5,4.46,0.64,2.31,0.58,0.83,0.7,0.66,11.23,0.57,0.06,0.36,0.81,0.07,0.11,3,1,2,1,4,0,15,1,11,Khalid Taha,Khalid Taha,1,1992, Germany,170,135,175,2.64,0.5,2.29,0.45,0,0,0.63,0.5,0,15,0.66,0.22,0.13,0.75,0.09,0.16,7,1,6,0,3,0,13,2,13,YET TO HAPPENLOSS,WINNER-FIGHTER2
7/11/2020, USA,3,Darren Elkins,Darren Elkins,1,1984, USA,177,146,180,3.54,0.37,3.09,0.52,2.43,0.33,0.58,1.2,0.13,11.46,0.51,0.21,0.27,0.75,0.21,0.04,6,6,8,6,22,0,25,9,6,Eduardo Garagorri,Eduardo Garagorri,1,1989, Uruguay,175,145,177,3.75,0.54,2.22,0.6,0.79,1,0.53,0,0,15,0.78,0.12,0.09,0.71,0.17,0.12,7,3,0,0,2,0,13,1,12,YET TO HAPPENLOSS,WINNER-FIGHTER2
31/10/2020, USA,3,Uriah Hall,Uriah Hall,1,1984,Jamaica,182,186,200,3.31,0.5,3.57,0.53,0.75,0.38,0.69,0.2,0.6,8.53,0.78,0.08,0.14,0.53,0.19,0.29,4,1,8,1,15,0,16,9,13,Anderson Silva,Anderson Silva,2,1975, Brazil,187,185,195,3.04,0.62,1.98,0.61,0.52,0.77,0.69,0.8,1.06,10.36,0.66,0.16,0.18,0.56,0.21,0.23,8,6,3,6,42,1,34,10,17,YET TO HAPPENLOSS,WINNER-FIGHTER2
